danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,cluster,id,names
0.513,0.868,-5.061,0.041,0.0185,0.0,0.121,0.367,92.009,230467,6,1VU8t2MpJRLG5iFEIxqq7z,Geboren um zu leben
0.646,0.359,-10.388,0.155,0.247,0.914,0.0872,0.154,119.885,360147,3,4YRvb9B8cgvhst11qk8CKn,Sonnentanz
0.825,0.652,-3.183,0.0802,0.581,0.0,0.0931,0.931,95.977,233713,7,7qiZfU4dY1lWllzX7mPBI3,Shape of You
0.694,0.77,-5.335,0.149,0.176,1.1e-05,0.118,0.163,125.905,184560,6,0E9ZjEAyAwOXZ7wJC0PD33,In My Mind
0.73,0.769,-5.114,0.0298,0.138,0.0,0.0473,0.507,104.948,228093,6,4OSBTYWVwsQhGLF9NHvIbR,Rolling in the Deep
0.655,0.797,-4.787,0.153,0.198,0.0,0.067,0.839,177.928,229360,4,6habFhsOp2NvshLv26DqMb,Despacito
0.591,0.176,-11.692,0.0396,0.638,4.81e-06,0.252,0.296,152.122,299147,2,1f1wT6Q7Buxb3OD0BqMW8O,"I See Fire - From ""The Hobbit - The Desolation Of Smaug"""
0.422,0.264,-7.064,0.0322,0.922,0.0,0.132,0.331,119.93,269560,2,3U4isOIWM3VvDubwSI3y7a,All of Me
0.577,0.385,-6.362,0.03,0.371,0.0,0.231,0.331,95.82,215733,2,2VxeLyX666F8uXCJ0dZF8B,Shallow
0.599,0.448,-6.312,0.0232,0.163,0.0,0.106,0.168,95.05,263400,6,0tgVpDi06FyKpA1z0VMD4v,Perfect
0.659,0.873,-5.349,0.1,0.0435,0.0,0.379,0.621,106.017,202320,1,1ZMODMeLK5x6W8r8jsmmgX,Au Revoir (feat. Sido)
0.63,0.886,-4.615,0.0406,0.011,0.0,0.0697,0.897,127.96,240600,7,6dXt4t5jgySnVTeTpT4C0l,Auf uns
0.67,0.696,-4.935,0.0294,0.0857,8.09e-05,0.0939,0.312,97.021,268427,6,2lYsCjTvXIHOqT8xSbK2jq,Tage wie diese
0.729,0.542,-7.671,0.0844,0.0262,5.22e-06,0.211,0.52,127.995,210573,0,0lKyMPBRuIDCX56NORu5NZ,Die immer lacht - Radio 2016 Mix
0.639,0.614,-9.448,0.0317,0.0681,0.0878,0.0882,0.652,121.973,210333,0,7bolFIVYrui4h98GEK0MIK,Geiles Leben
0.575,0.664,-5.303,0.0481,0.637,0.0,0.116,0.437,129.071,241688,2,3dYD57lRAUcMHufyqn9GcI,Take Me To Church
0.647,0.822,-4.662,0.183,0.219,0.0,0.0908,0.962,160.019,232720,7,60nZcImufyMA1MKQY3dcCH,"Happy - From ""Despicable Me 2"""
0.862,0.671,-6.576,0.0995,0.258,0.00274,0.0744,0.82,115.952,237053,0,7DFSnCBYlus7i4U9KKlbdU,No Roots
0.793,0.688,-4.216,0.0328,0.079,0.0604,0.145,0.221,120.058,242773,6,2IxixfQUSQkwCCblJT3Eq1,Heavy Cross
0.782,0.685,-6.237,0.0309,0.166,1.18e-05,0.16,0.603,118.02,180566,6,7vFoFDWqTX0mHzLfrF1Cfy,Cheerleader (Felix Jaehn Remix) - Radio Edit
0.764,0.887,-6.088,0.176,0.00987,0.0,0.0585,0.816,126.974,202467,7,2RB1n3NWUmG5X0rdihAQ3e,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground)
0.763,0.608,-8.1,0.035,0.262,2.5e-05,0.12,0.394,121.02,138013,6,4255amV4enzl28KAn16rUO,Are You with Me
0.792,0.329,-12.906,0.0593,0.6,0.857,0.193,0.526,127.02,230500,3,3ZSqMer9RLSglvi18bWXYV,Sky and Sand
0.614,0.379,-10.48,0.0476,0.607,0.000464,0.0986,0.201,107.989,258987,2,1HNkqx9Ahdgi1Ixy2xkKkL,Photograph
0.765,0.523,-4.333,0.03,0.184,3.56e-05,0.132,0.394,104.988,217307,6,1rfofaqEpACxVEHIZBJe6W,Havana (feat. Young Thug)
0.532,0.783,-5.697,0.0523,0.0038,0.0012,0.161,0.643,124.08,247427,6,0nrRP2bk19rLc0orkWPQk2,Wake Me Up
0.599,0.533,-14.032,0.0472,0.475,0.00153,0.235,0.607,122.262,228467,2,3WlVUkLgGYByiGj8gF4erq,I Follow Rivers
0.749,0.589,-5.032,0.26,0.0279,0.000217,0.0396,0.814,128.003,191091,7,2CbuG4ib5Wg5q8AEhVgll7,Ma Chérie - DJ Antoine Vs Mad Mark 2K12 Radio Edit
0.604,0.822,-4.833,0.0438,0.00672,0.134,0.147,0.288,167.997,187147,4,1zB4vmk8tFRmM9UULNzbLB,Thunder
0.763,0.875,-5.797,0.0262,0.024,5.41e-06,0.599,0.8,123.013,189413,1,5fnA9mkIfScSqHIpeDyvck,Prayer in C - Robin Schulz Radio Edit
0.707,0.87,-3.617,0.0669,0.0593,0.0,0.205,0.809,125.956,229933,7,4icNLSquKZp6e0iEkBn9RP,Glow - Radio Edit
0.603,0.67,-3.882,0.0249,0.00408,1.68e-06,0.112,0.446,107.993,242974,6,3di5hcvxxciiqwMH1jarhY,Set Fire to the Rain
0.322,0.28,-9.367,0.0281,0.468,1.1e-06,0.102,0.175,85.794,248467,2,0eZBeB2xFIS65jQHerispi,The Sound of Silence
0.78,0.568,-6.96,0.031,0.668,0.000168,0.0698,0.459,117.973,186147,2,3c8iiZGfEammKJuWTErE5x,Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson)
0.704,0.634,-7.374,0.0428,0.393,3.17e-05,0.0952,0.411,113.927,271640,0,1I8tHoNBFTuoJAlh4hfVVE,Firestone
0.671,0.153,-13.569,0.0404,0.912,5.53e-05,0.0771,0.658,85.6,211933,2,4yDjzVhXig9tfO7Zv46FE8,Over the Rainbow
0.72,0.706,-4.719,0.0473,0.0684,0.0,0.166,0.62,133.002,187436,7,7DnAm9FOTWE3cUvso43HhI,Sweet but Psycho
0.501,0.405,-5.679,0.0319,0.751,0.0,0.105,0.446,109.891,182161,2,7qEHsqek33rTcFNT9PFqLf,Someone You Loved
0.579,0.904,-2.729,0.0618,0.193,0.0,0.064,0.681,82.014,190947,7,1rqqCSm0Qe4I9rUvWncaom,High Hopes
0.641,0.922,-4.457,0.0786,0.0291,0.0,0.0862,0.847,146.078,258343,7,3bidbhpOYeV4knp8AIu8Xn,Can't Hold Us (feat. Ray Dalton)
0.733,0.897,-3.652,0.0389,0.0391,0.0,0.117,0.649,96.006,173800,7,0mlAOSILGRys2IbvyOT5VJ,Échame La Culpa
0.758,0.686,-6.346,0.0792,0.0848,0.00133,0.142,0.444,130.008,230907,6,0Oe49j06Bjrxs8PltuVeaW,On The Floor - Radio Edit
0.782,0.393,-12.423,0.0343,0.389,0.00915,0.0954,0.598,116.977,237858,0,5RfxjgQMne0dRNiORcLtMg,Wolke 4
