danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,cluster,id,names
0.67,0.696,-4.935,0.0294,0.0857,8.09e-05,0.0939,0.312,97.021,268427,0,2lYsCjTvXIHOqT8xSbK2jq,Tage wie diese
0.729,0.542,-7.671,0.0844,0.0262,5.22e-06,0.211,0.52,127.995,210573,0,0lKyMPBRuIDCX56NORu5NZ,Die immer lacht - Radio 2016 Mix
0.639,0.614,-9.448,0.0317,0.0681,0.0878,0.0882,0.652,121.973,210333,2,7bolFIVYrui4h98GEK0MIK,Geiles Leben
0.575,0.664,-5.303,0.0481,0.637,0.0,0.116,0.437,129.071,241688,5,3dYD57lRAUcMHufyqn9GcI,Take Me To Church
0.647,0.822,-4.662,0.183,0.219,0.0,0.0908,0.962,160.019,232720,4,60nZcImufyMA1MKQY3dcCH,"Happy - From ""Despicable Me 2"""
0.862,0.671,-6.576,0.0995,0.258,0.00274,0.0744,0.82,115.952,237053,2,7DFSnCBYlus7i4U9KKlbdU,No Roots
0.793,0.688,-4.216,0.0328,0.079,0.0604,0.145,0.221,120.058,242773,0,2IxixfQUSQkwCCblJT3Eq1,Heavy Cross
0.782,0.685,-6.237,0.0309,0.166,1.18e-05,0.16,0.603,118.02,180566,2,7vFoFDWqTX0mHzLfrF1Cfy,Cheerleader (Felix Jaehn Remix) - Radio Edit
0.764,0.887,-6.088,0.176,0.00987,0.0,0.0585,0.816,126.974,202467,2,2RB1n3NWUmG5X0rdihAQ3e,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground)
0.763,0.608,-8.1,0.035,0.262,2.5e-05,0.12,0.394,121.02,138013,0,4255amV4enzl28KAn16rUO,Are You with Me
0.792,0.329,-12.906,0.0593,0.6,0.857,0.193,0.526,127.02,230500,6,3ZSqMer9RLSglvi18bWXYV,Sky and Sand
0.614,0.379,-10.48,0.0476,0.607,0.000464,0.0986,0.201,107.989,258987,5,1HNkqx9Ahdgi1Ixy2xkKkL,Photograph
0.765,0.523,-4.333,0.03,0.184,3.56e-05,0.132,0.394,104.988,217307,0,1rfofaqEpACxVEHIZBJe6W,Havana (feat. Young Thug)
0.532,0.783,-5.697,0.0523,0.0038,0.0012,0.161,0.643,124.08,247427,0,0nrRP2bk19rLc0orkWPQk2,Wake Me Up
0.599,0.533,-14.032,0.0472,0.475,0.00153,0.235,0.607,122.262,228467,5,3WlVUkLgGYByiGj8gF4erq,I Follow Rivers
0.749,0.589,-5.032,0.26,0.0279,0.000217,0.0396,0.814,128.003,191091,2,2CbuG4ib5Wg5q8AEhVgll7,Ma Chérie - DJ Antoine Vs Mad Mark 2K12 Radio Edit
0.604,0.822,-4.833,0.0438,0.00672,0.134,0.147,0.288,167.997,187147,4,1zB4vmk8tFRmM9UULNzbLB,Thunder
0.763,0.875,-5.797,0.0262,0.024,5.41e-06,0.599,0.8,123.013,189413,7,5fnA9mkIfScSqHIpeDyvck,Prayer in C - Robin Schulz Radio Edit
0.707,0.87,-3.617,0.0669,0.0593,0.0,0.205,0.809,125.956,229933,2,4icNLSquKZp6e0iEkBn9RP,Glow - Radio Edit
0.603,0.67,-3.882,0.0249,0.00408,1.68e-06,0.112,0.446,107.993,242974,0,3di5hcvxxciiqwMH1jarhY,Set Fire to the Rain
0.322,0.28,-9.367,0.0281,0.468,1.1e-06,0.102,0.175,85.794,248467,5,0eZBeB2xFIS65jQHerispi,The Sound of Silence
0.78,0.568,-6.96,0.031,0.668,0.000168,0.0698,0.459,117.973,186147,5,3c8iiZGfEammKJuWTErE5x,Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson)
0.704,0.634,-7.374,0.0428,0.393,3.17e-05,0.0952,0.411,113.927,271640,0,1I8tHoNBFTuoJAlh4hfVVE,Firestone
0.671,0.153,-13.569,0.0404,0.912,5.53e-05,0.0771,0.658,85.6,211933,5,4yDjzVhXig9tfO7Zv46FE8,Over the Rainbow
0.72,0.706,-4.719,0.0473,0.0684,0.0,0.166,0.62,133.002,187436,2,7DnAm9FOTWE3cUvso43HhI,Sweet but Psycho
0.501,0.405,-5.679,0.0319,0.751,0.0,0.105,0.446,109.891,182161,5,7qEHsqek33rTcFNT9PFqLf,Someone You Loved
0.579,0.904,-2.729,0.0618,0.193,0.0,0.064,0.681,82.014,190947,2,1rqqCSm0Qe4I9rUvWncaom,High Hopes
0.641,0.922,-4.457,0.0786,0.0291,0.0,0.0862,0.847,146.078,258343,2,3bidbhpOYeV4knp8AIu8Xn,Can't Hold Us (feat. Ray Dalton)
0.733,0.897,-3.652,0.0389,0.0391,0.0,0.117,0.649,96.006,173800,2,0mlAOSILGRys2IbvyOT5VJ,Échame La Culpa
0.758,0.686,-6.346,0.0792,0.0848,0.00133,0.142,0.444,130.008,230907,0,0Oe49j06Bjrxs8PltuVeaW,On The Floor - Radio Edit
0.782,0.393,-12.423,0.0343,0.389,0.00915,0.0954,0.598,116.977,237858,5,5RfxjgQMne0dRNiORcLtMg,Wolke 4
0.617,0.635,-6.769,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,247160,0,6RUKPb4LETWmmr3iAEQktW,Something Just Like This
0.75,0.736,-4.168,0.155,0.0202,0.0,0.265,0.355,130.011,262147,0,7mitXLIMCflkhZiD34uEQI,Party Rock Anthem
0.829,0.51,-9.334,0.0369,0.00821,0.00143,0.0829,0.45,119.994,208133,0,1HFfMOxCAT4GAwaPfCdmUs,Waves - Robin Schulz Radio Edit
0.79,0.593,-9.204,0.0776,0.0983,0.00202,0.065,0.72,119.958,206067,2,2GYHyAoLWpkxLVa4oYTVko,Alors on danse - Radio Edit
0.781,0.526,-6.985,0.293,0.0619,0.0,0.0457,0.662,94.992,235613,1,1CmUZGtH29Kx36C1Hleqlz,Thrift Shop (feat. Wanz)
0.782,0.58,-6.548,0.0407,0.0114,2.28e-06,0.108,0.66,120.021,193400,2,20I6sIOMTCkB6w7ryavxtO,Call Me Maybe
0.723,0.809,-3.081,0.0625,0.00346,0.00123,0.565,0.274,98.007,176561,7,2YWjW3wwQIBLNhxWKBQd16,Lean On (feat. MØ & DJ Snake)
0.636,0.815,-5.098,0.0581,0.0185,0.0,0.163,0.636,123.063,219043,2,5tf1VVWniHgryyumXyJM7w,Sugar (feat. Francesco Yates)
0.602,0.707,-4.097,0.302,0.393,0.0,0.165,0.554,75.087,200187,1,5LLRo6dCGxg4PZmtSqNzrZ,Human
0.862,0.515,-6.897,0.0368,0.545,0.000153,0.0899,0.696,129.044,244893,2,6md4w95cnKaW64JyEQ3A0L,Somebody That I Used To Know
0.853,0.599,-4.756,0.0411,0.00334,7.93e-06,0.0759,0.843,119.993,263827,2,0n4bITAu0Y0nigrz3MFJMb,Blurred Lines
